Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jun 16 2023,SPX230616C00200000,0,0,3987.7,4010.4,0,0.02,1,0,4,200.00,SPX230616P00200000,0.4,0,0.2,0.45,0,0.9686,-0.0003,0,101
Fri Jun 16 2023,SPX230616C00400000,0,0,3794.5,3817.1,0,0.02,1,0,6,400.00,SPX230616P00400000,0.6,0,0.8,1.15,0,0.8087,-0.0008,0,322
Fri Jun 16 2023,SPX230616C00600000,0,0,3601.6,3624.1,0,0.02,1,0,1,600.00,SPX230616P00600000,1.67,0,1.8,2.4,0,0.7217,-0.0017,0,60
Fri Jun 16 2023,SPX230616C00800000,0,0,3409.4,3431.6,0,0.02,1,0,10,800.00,SPX230616P00800000,3.1,0,3.3,4.2,0,0.6592,-0.0032,0,14
Fri Jun 16 2023,SPX230616C01000000,3330.65,0,3217.7,3239.8,0,0.02,0.9989,0,11432,1000.00,SPX230616P01000000,4.2,0,5.4,6.5,0,0.6086,-0.0054,0,3697
Fri Jun 16 2023,SPX230616C01100000,3230,0,3121.9,3143.8,0,0.02,0.9975,0,11432,1100.00,SPX230616P01100000,5.9,0,6.7,7.9,0,0.5857,-0.0068,0,206
Fri Jun 16 2023,SPX230616C01200000,3145,0,3026.7,3048.4,0,0.02,0.9959,0,11442,1200.00,SPX230616P01200000,6.9,0,8.2,9.5,0,0.566,-0.0085,0,5
Fri Jun 16 2023,SPX230616C01300000,3045,0,2931.9,2953.4,0,0.02,0.994,0,11432,1300.00,SPX230616P01300000,10.61,0,10.1,11.3,0,0.5474,-0.0104,0,84
Fri Jun 16 2023,SPX230616C01400000,0,0,2837,2858.3,0,0.02,0.9918,0,0,1400.00,SPX230616P01400000,10.3,0,12.1,13.3,0,0.5294,-0.0125,0,197
Fri Jun 16 2023,SPX230616C01500000,0,0,2742.4,2763.5,0,0.02,0.9894,0,0,1500.00,SPX230616P01500000,13,0.85,14.4,15.6,32,0.5126,-0.0149,0,653
Fri Jun 16 2023,SPX230616C01600000,0,0,2648.1,2669,0,0.02,0.9867,0,0,1600.00,SPX230616P01600000,13.8,0,16.8,18.1,0,0.4966,-0.0177,0,2000
Fri Jun 16 2023,SPX230616C01700000,0,0,2554,2574.7,0,0.02,0.9836,0,0,1700.00,SPX230616P01700000,20.2,0,19.6,20.8,0,0.4808,-0.0207,0,211
Fri Jun 16 2023,SPX230616C01800000,0,0,2460.1,2480.6,0,0.02,0.9802,0,0,1800.00,SPX230616P01800000,17.8,0,22.6,23.7,0,0.4658,-0.0241,0,685
Fri Jun 16 2023,SPX230616C01900000,0,0,2366.6,2386.9,0,0.02,0.9764,0,0,1900.00,SPX230616P01900000,22.51,0,25.9,27,0,0.4512,-0.028,0,21
