Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Apr 21 2023,SPX230421C03175000,0,0,1207.2,1220,0,0.3472,0.8662,0.0002,0,3175.00,SPX230421P03175000,0,0,107.2,109.8,0,0.3165,-0.1367,0.0002,0
Fri Apr 21 2023,SPX230421C03200000,0,0,1186.2,1198.9,0,0.3447,0.862,0.0002,0,3200.00,SPX230421P03200000,84.55,0,110.6,113.1,0,0.3143,-0.1409,0.0002,142
Fri Apr 21 2023,SPX230421C03225000,0,0,1165.3,1177.9,0,0.3421,0.8577,0.0002,0,3225.00,SPX230421P03225000,0,0,114,116.6,0,0.312,-0.1452,0.0002,0
Fri Apr 21 2023,SPX230421C03250000,0,0,1144.5,1157,0,0.3397,0.8533,0.0002,0,3250.00,SPX230421P03250000,118.5,20.45,117.6,120.2,500,0.3098,-0.1496,0.0002,1
Fri Apr 21 2023,SPX230421C03275000,0,0,1123.8,1136.2,0,0.3372,0.8488,0.0002,0,3275.00,SPX230421P03275000,0,0,121.2,123.9,0,0.3075,-0.1541,0.0002,0
Fri Apr 21 2023,SPX230421C03300000,0,0,1103.2,1115.5,0,0.3348,0.8442,0.0002,0,3300.00,SPX230421P03300000,107.5,0,125,127.7,0,0.3053,-0.1588,0.0002,81
Fri Apr 21 2023,SPX230421C03325000,0,0,1082.7,1095,0,0.3323,0.8394,0.0002,0,3325.00,SPX230421P03325000,102.26,0,128.8,131.6,0,0.3031,-0.1635,0.0002,1
Fri Apr 21 2023,SPX230421C03350000,0,0,1062.4,1074.5,0,0.3299,0.8345,0.0002,0,3350.00,SPX230421P03350000,105.4,0,132.8,135.6,0,0.3009,-0.1684,0.0002,1
Fri Apr 21 2023,SPX230421C03375000,0,0,1042.1,1054.2,0,0.3276,0.8295,0.0002,0,3375.00,SPX230421P03375000,105.14,0,136.9,139.8,0,0.2988,-0.1734,0.0002,27
Fri Apr 21 2023,SPX230421C03400000,0,0,1022,1033.9,0,0.3252,0.8244,0.0002,0,3400.00,SPX230421P03400000,132.32,14.47,141.2,144,125,0.2967,-0.1785,0.0002,125
Fri Apr 21 2023,SPX230421C03425000,0,0,1002,1013.8,0,0.3228,0.8192,0.0002,0,3425.00,SPX230421P03425000,122,0,145.5,148.3,0,0.2945,-0.1837,0.0002,58
Fri Apr 21 2023,SPX230421C03450000,1153.71,0,982.1,993.9,0,0.3205,0.8138,0.0002,0,3450.00,SPX230421P03450000,125.43,0,150,152.8,0,0.2923,-0.1891,0.0002,2
Fri Apr 21 2023,SPX230421C03475000,0,0,962.3,974,0,0.3182,0.8084,0.0002,0,3475.00,SPX230421P03475000,146.56,17.51,154.5,157.4,4,0.2902,-0.1946,0.0002,1
Fri Apr 21 2023,SPX230421C03500000,1234.92,0,942.7,954.3,0,0.3159,0.8028,0.0002,0,3500.00,SPX230421P03500000,139.4,6.4,159.2,162.2,170,0.2882,-0.2002,0.0002,237
Fri Apr 21 2023,SPX230421C03525000,0,0,923.3,934.7,0,0.3137,0.797,0.0002,0,3525.00,SPX230421P03525000,143.5,0,164,167,0,0.286,-0.2059,0.0002,12
Fri Apr 21 2023,SPX230421C03550000,1069.58,0,903.9,915.2,0,0.3114,0.7912,0.0002,0,3550.00,SPX230421P03550000,157.38,16.03,169,172,2,0.2839,-0.2118,0.0002,33
Fri Apr 21 2023,SPX230421C03575000,0,0,884.7,895.9,0,0.3092,0.7852,0.0002,0,3575.00,SPX230421P03575000,163.69,18.09,174,177.2,40,0.2819,-0.2177,0.0002,1
Fri Apr 21 2023,SPX230421C03600000,1133.7,0,865.6,876.7,0,0.307,0.7791,0.0002,1,3600.00,SPX230421P03600000,166.17,16.17,179,182.4,4,0.2798,-0.2239,0.0002,104
Fri Apr 21 2023,SPX230421C03625000,0,0,846.6,857.6,0,0.3047,0.7728,0.0002,0,3625.00,SPX230421P03625000,161,0,184.4,187.8,0,0.2777,-0.2301,0.0002,7
Fri Apr 21 2023,SPX230421C03650000,0,0,827.8,838.7,0,0.3025,0.7664,0.0003,0,3650.00,SPX230421P03650000,165.67,6.47,189.9,193.3,2,0.2754,-0.2365,0.0003,0
Fri Apr 21 2023,SPX230421C03675000,0,0,809,819.9,0,0.3003,0.7599,0.0003,0,3675.00,SPX230421P03675000,0,0,195.4,198.9,0,0.2733,-0.243,0.0003,0
Fri Apr 21 2023,SPX230421C03700000,0,0,790.5,801.3,0,0.2981,0.7533,0.0003,0,3700.00,SPX230421P03700000,165.69,0,201.2,204.7,0,0.2712,-0.2496,0.0003,2
Fri Apr 21 2023,SPX230421C03725000,0,0,775.1,780.7,0,0.2957,0.7465,0.0003,0,3725.00,SPX230421P03725000,160.79,0,207.1,210.6,0,0.2692,-0.2564,0.0003,24
Fri Apr 21 2023,SPX230421C03750000,0,0,756.9,762.5,0,0.2935,0.7396,0.0003,0,3750.00,SPX230421P03750000,213.5,34.55,213,216.7,1,0.267,-0.2633,0.0003,163
Fri Apr 21 2023,SPX230421C03775000,0,0,738.8,744.3,0,0.2913,0.7325,0.0003,0,3775.00,SPX230421P03775000,175.93,0,219.3,222.9,0,0.265,-0.2704,0.0003,233
Fri Apr 21 2023,SPX230421C03800000,0,0,720.7,726.2,0,0.2892,0.7254,0.0003,0,3800.00,SPX230421P03800000,180.9,0,225.6,229.2,0,0.2629,-0.2776,0.0003,1584
Fri Apr 21 2023,SPX230421C03825000,0,0,702.9,708.3,0,0.2869,0.718,0.0003,0,3825.00,SPX230421P03825000,190.55,0,232,235.7,0,0.2608,-0.2849,0.0003,27
Fri Apr 21 2023,SPX230421C03850000,892.33,0,685.2,690.5,0,0.2848,0.7106,0.0003,0,3850.00,SPX230421P03850000,208.8,8.35,238.6,242.4,38,0.2587,-0.2924,0.0003,3
Fri Apr 21 2023,SPX230421C03875000,834.77,0,667.5,672.8,0,0.2826,0.7029,0.0003,1,3875.00,SPX230421P03875000,202.26,0,245.4,249.2,0,0.2567,-0.3,0.0003,0
Fri Apr 21 2023,SPX230421C03900000,813.3,0,650.1,655.3,0,0.2804,0.6952,0.0003,1,3900.00,SPX230421P03900000,195,0,252.3,256.1,0,0.2545,-0.3078,0.0003,88
Fri Apr 21 2023,SPX230421C03925000,0,0,632.7,638.1,0,0.2783,0.6873,0.0003,0,3925.00,SPX230421P03925000,209.96,0,259.5,263.3,0,0.2524,-0.3156,0.0003,111
