Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 20 2023,SPX230120C00200000,4130.7,-26.9499,4014.9,4026.8,10,0.02,1,0,544,200.00,SPX230120P00200000,0.15,0.025,0,0.25,4,1.0947,-0.0003,0,1287
Fri Jan 20 2023,SPX230120C00400000,4013.2,0,3818.4,3830.5,0,0.02,1,0,526,400.00,SPX230120P00400000,0.47,0,0.45,0.65,0,0.9481,-0.0006,0,1146
Fri Jan 20 2023,SPX230120C00600000,3926.55,0,3622.2,3634.2,0,0.02,1,0,5,600.00,SPX230120P00600000,1.25,0.2,1.1,1.45,8,0.8431,-0.0012,0,3239
Fri Jan 20 2023,SPX230120C00800000,0,0,3426.3,3438.3,0,0.02,0.9995,0,2,800.00,SPX230120P00800000,2.15,0.275,2.15,2.5,7,0.7692,-0.0022,0,1206
Fri Jan 20 2023,SPX230120C01000000,3255.4,0,3230.8,3242.9,0,0.02,0.9979,0,26,1000.00,SPX230120P01000000,3.13,0.105,3.5,4.1,2,0.7073,-0.0038,0,110
Fri Jan 20 2023,SPX230120C01200000,0,0,3035.7,3047.8,0,0.02,0.9956,0,146,1200.00,SPX230120P01200000,5.3,0.85,5.2,6,1,0.653,-0.0061,0,878
Fri Jan 20 2023,SPX230120C01400000,0,0,2841.2,2853.4,0,0,0.9925,0,84,1400.00,SPX230120P01400000,7.3,1,7.6,8.4,4,0.6062,-0.0092,0,4808
Fri Jan 20 2023,SPX230120C01600000,2712.29,0,2647.2,2659.6,0,0,0.9884,0,54,1600.00,SPX230120P01600000,11.1,2.45,10.6,11.4,7,0.5647,-0.0132,0,4331
Fri Jan 20 2023,SPX230120C01800000,2727.93,0,2454.1,2466.5,0,0.6358,0.9834,0,366,1800.00,SPX230120P01800000,12.18,0.63,14.3,15.1,300,0.5273,-0.0183,0,3387
Fri Jan 20 2023,SPX230120C02000000,2502.23,0,2261.8,2274.3,0,0.5876,0.977,0,252,2000.00,SPX230120P02000000,18.7,3.65,19.1,19.6,16,0.4925,-0.0246,0,4206
Fri Jan 20 2023,SPX230120C02200000,2278.96,0,2070.4,2083,0,0.5438,0.969,0,4,2200.00,SPX230120P02200000,20.2,0.65,24.5,25.3,8,0.4593,-0.0326,0,1564
Fri Jan 20 2023,SPX230120C02300000,2182.76,0,1975.8,1987.9,0,0.5231,0.9643,0,36,2300.00,SPX230120P02300000,23.47,1.32,27.7,28.6,2,0.4436,-0.0374,0,1386
Fri Jan 20 2023,SPX230120C02400000,2095.17,0,1881.1,1893,0,0.5021,0.9588,0.0001,121,2400.00,SPX230120P02400000,25.31,0.21,31.3,32.4,2,0.4286,-0.0428,0.0001,1595
Fri Jan 20 2023,SPX230120C02500000,2001.3,0,1786.8,1798.3,0,0.4837,0.9527,0.0001,315,2500.00,SPX230120P02500000,24.1,0,35.3,36.4,0,0.4139,-0.049,0.0001,9256
Fri Jan 20 2023,SPX230120C02600000,1678.72,0,1693.2,1704.8,0,0.4647,0.9456,0.0001,81,2600.00,SPX230120P02600000,37.26,5.21,39.9,41.1,56,0.3999,-0.056,0.0001,2145
Fri Jan 20 2023,SPX230120C02625000,1655.77,0,1669.5,1681.1,0,0.4608,0.9437,0.0001,1,2625.00,SPX230120P02625000,30.71,0,41.1,42.4,0,0.3963,-0.058,0.0001,165
Fri Jan 20 2023,SPX230120C02700000,0,0,1599.8,1611.2,0,0.4476,0.9375,0.0001,157,2700.00,SPX230120P02700000,40.37,4.17,45,46.4,2,0.3861,-0.0642,0.0001,1261
Fri Jan 20 2023,SPX230120C02800000,1796.9,0,1507.9,1519,0,0.4304,0.9282,0.0001,54,2800.00,SPX230120P02800000,48,7.05,51,52.4,1000,0.3729,-0.0735,0.0001,1654
Fri Jan 20 2023,SPX230120C02900000,1410,0,1416.5,1427.5,0,0.4147,0.9175,0.0001,174,2900.00,SPX230120P02900000,48.73,2.28,57.9,59.3,2,0.3605,-0.0842,0.0001,935
Fri Jan 20 2023,SPX230120C03000000,1400.73,-55.37,1326.3,1337,1,0.3996,0.9053,0.0001,544,3000.00,SPX230120P03000000,62,9.2,65.9,67.4,2,0.3486,-0.0964,0.0001,7006
Fri Jan 20 2023,SPX230120C03050000,1396.76,0,1281.2,1291.9,0,0.3918,0.8985,0.0001,20,3050.00,SPX230120P03050000,51.64,0,70.3,71.8,0,0.3429,-0.1031,0.0001,726
Fri Jan 20 2023,SPX230120C03100000,1217.93,0,1236.8,1247.4,0,0.385,0.8913,0.0001,39,3100.00,SPX230120P03100000,54.6,0,75.1,76.5,0,0.3369,-0.1103,0.0001,855
Fri Jan 20 2023,SPX230120C03150000,1382.2,0,1193.1,1203.5,0,0.378,0.8836,0.0002,19,3150.00,SPX230120P03150000,75.28,11.23,80.1,81.6,200,0.3313,-0.118,0.0002,1854
Fri Jan 20 2023,SPX230120C03200000,1270.5,0,1149.5,1159.8,0,0.3709,0.8755,0.0002,34,3200.00,SPX230120P03200000,79.6,11.25,85.5,87.2,520,0.3261,-0.1262,0.0002,2462
Fri Jan 20 2023,SPX230120C03250000,0,0,1106.3,1116.5,0,0.3644,0.8668,0.0002,6,3250.00,SPX230120P03250000,88,14.95,91.5,93.2,45,0.3209,-0.1348,0.0002,7200
Fri Jan 20 2023,SPX230120C03300000,1181.68,0,1063.3,1073.4,0,0.3584,0.8576,0.0002,27,3300.00,SPX230120P03300000,88.35,10.25,97.9,99.6,232,0.3158,-0.1441,0.0002,5260
Fri Jan 20 2023,SPX230120C03350000,1217.55,0,1021.3,1031.2,0,0.3517,0.8478,0.0002,14,3350.00,SPX230120P03350000,69.7,0,104.7,106.4,0,0.3107,-0.1538,0.0002,434
Fri Jan 20 2023,SPX230120C03400000,0,0,979.5,989.2,0,0.3457,0.8375,0.0002,15,3400.00,SPX230120P03400000,97.3,7.95,111.9,113.8,20,0.3057,-0.1642,0.0002,1644
Fri Jan 20 2023,SPX230120C03450000,1113.21,0,938.4,947.5,0,0.3399,0.8265,0.0002,67,3450.00,SPX230120P03450000,113.32,17.72,119.6,121.6,2,0.3009,-0.1751,0.0002,1322
Fri Jan 20 2023,SPX230120C03500000,1153.2,0,897.6,906.6,0,0.3342,0.815,0.0002,104,3500.00,SPX230120P03500000,116.71,14.41,127.9,129.9,9,0.296,-0.1867,0.0002,3028
Fri Jan 20 2023,SPX230120C03550000,1013.02,0,857,865.9,0,0.3283,0.8028,0.0002,42,3550.00,SPX230120P03550000,121.92,12.47,136.7,138.8,4,0.2913,-0.1989,0.0002,888
Fri Jan 20 2023,SPX230120C03600000,1086.82,0,817.6,826.3,0,0.3226,0.79,0.0003,1,3600.00,SPX230120P03600000,133.5,16.4,146,148.2,3,0.2866,-0.2117,0.0003,3091
Fri Jan 20 2023,SPX230120C03650000,1004.33,0,778.5,787.1,0,0.3171,0.7764,0.0003,19,3650.00,SPX230120P03650000,141.95,16.65,155.9,158.2,7,0.2819,-0.2252,0.0003,1695
Fri Jan 20 2023,SPX230120C03700000,907.46,0,740,748.4,0,0.3117,0.7623,0.0003,27,3700.00,SPX230120P03700000,153.35,19.4,166.4,168.8,6,0.277,-0.2394,0.0003,3513
Fri Jan 20 2023,SPX230120C03750000,827.07,0,703.9,708.1,0,0.3063,0.7474,0.0003,104,3750.00,SPX230120P03750000,143.47,0,177.6,180.1,0,0.2723,-0.2542,0.0003,3159
Fri Jan 20 2023,SPX230120C03800000,808.95,0,666.8,670.7,0,0.3011,0.7318,0.0003,348,3800.00,SPX230120P03800000,169.23,16.43,189.4,191.9,310,0.2676,-0.2698,0.0003,4260
Fri Jan 20 2023,SPX230120C03850000,805.36,0,630,634,0,0.2959,0.7156,0.0003,32,3850.00,SPX230120P03850000,194.45,31.05,201.9,204.4,31,0.2629,-0.2861,0.0003,2401
Fri Jan 20 2023,SPX230120C03900000,731.2,0,594,598,0,0.2905,0.6985,0.0004,71,3900.00,SPX230120P03900000,216.26,41.61,215,217.6,84,0.2582,-0.3031,0.0004,6170
Fri Jan 20 2023,SPX230120C03950000,693.31,0,559,562.7,0,0.2853,0.6808,0.0004,109,3950.00,SPX230120P03950000,206.91,20.76,228.9,231.6,5,0.2534,-0.3209,0.0004,2072
Fri Jan 20 2023,SPX230120C04000000,547.08,-68.47,524.3,528,251,0.2801,0.6622,0.0004,5818,4000.00,SPX230120P04000000,223.61,25.71,243.3,246.1,284,0.2485,-0.3394,0.0004,13250
Fri Jan 20 2023,SPX230120C04050000,572.27,0,490.5,494.2,0,0.2749,0.643,0.0004,88,4050.00,SPX230120P04050000,227.04,16.39,258.8,261.6,255,0.2436,-0.3587,0.0004,2084
Fri Jan 20 2023,SPX230120C04100000,579.04,0,457.7,461.1,0,0.2696,0.6229,0.0004,185,4100.00,SPX230120P04100000,204.49,0,274.9,277.8,0,0.2386,-0.3788,0.0004,3064
Fri Jan 20 2023,SPX230120C04150000,544.88,0,425.4,428.9,0,0.2643,0.602,0.0004,249,4150.00,SPX230120P04150000,285.2,47.1,291.7,294.7,116,0.2335,-0.3996,0.0004,5317
Fri Jan 20 2023,SPX230120C04200000,532.4,0,393.9,397.1,0,0.259,0.5804,0.0004,215,4200.00,SPX230120P04200000,285.32,32.27,309.4,311.8,22,0.2282,-0.4213,0.0004,1829
Fri Jan 20 2023,SPX230120C04250000,373.9,-65.95,363.2,366.4,14,0.2536,0.5579,0.0004,432,4250.00,SPX230120P04250000,269.37,0,327.6,330.8,0,0.2228,-0.4438,0.0004,2179
Fri Jan 20 2023,SPX230120C04300000,407.23,0,333.2,336.4,0,0.2481,0.5346,0.0005,2247,4300.00,SPX230120P04300000,320.33,35.38,346.8,350.1,6,0.2172,-0.4671,0.0005,5165
Fri Jan 20 2023,SPX230120C04350000,322.6,-52.25,304.1,307.3,210,0.2425,0.5104,0.0005,733,4350.00,SPX230120P04350000,350.3,48.2,366.8,370.2,214,0.2114,-0.4912,0.0005,1486
Fri Jan 20 2023,SPX230120C04400000,286.27,-57.33,276,279.1,369,0.2369,0.4854,0.0005,3220,4400.00,SPX230120P04400000,370.58,50.53,387.8,391.3,382,0.2054,-0.5162,0.0005,3971
Fri Jan 20 2023,SPX230120C04450000,268.54,-44.66,248.8,251.9,27,0.231,0.4596,0.0005,3209,4450.00,SPX230120P04450000,379.88,41.08,409.6,413.3,6,0.1991,-0.542,0.0005,2640
Fri Jan 20 2023,SPX230120C04500000,232.2,-51.65,222.7,225.7,426,0.2252,0.433,0.0005,6650,4500.00,SPX230120P04500000,404.76,46.21,432.6,436.3,5,0.1926,-0.5686,0.0005,4331
Fri Jan 20 2023,SPX230120C04550000,296.48,0,197.5,200.6,0,0.2192,0.4056,0.0005,2170,4550.00,SPX230120P04550000,434.78,55.38,456.6,460.5,5,0.1857,-0.5961,0.0005,2314
Fri Jan 20 2023,SPX230120C04600000,191.75,-36.3,173.9,176.9,44,0.2132,0.3774,0.0005,5277,4600.00,SPX230120P04600000,359.42,0,482.2,486.1,0,0.1786,-0.6242,0.0005,4175
Fri Jan 20 2023,SPX230120C04650000,201.99,0,151.8,154.6,0,0.2073,0.3488,0.0005,3258,4650.00,SPX230120P04650000,485,60.45,508.9,513.1,44,0.1713,-0.6529,0.0005,1474
Fri Jan 20 2023,SPX230120C04700000,146.72,-31.58,131.2,134,50,0.2015,0.3197,0.0005,4784,4700.00,SPX230120P04700000,397.29,0,537.6,541.9,0,0.1636,-0.6819,0.0005,2480
Fri Jan 20 2023,SPX230120C04750000,122.55,-32.5,112.6,115.2,20,0.196,0.2908,0.0005,1502,4750.00,SPX230120P04750000,540.05,64.2,565.8,574.6,54,0.1555,-0.7109,0.0005,319
Fri Jan 20 2023,SPX230120C04800000,105.24,-28.91,95.8,98.3,32,0.1907,0.2623,0.0005,5610,4800.00,SPX230120P04800000,564.49,59.89,597.8,607.1,3,0.1472,-0.7393,0.0005,485
Fri Jan 20 2023,SPX230120C04850000,89.9,-25.1,80.9,83.3,51,0.1858,0.235,0.0005,1227,4850.00,SPX230120P04850000,475.4,0,632,641.1,0,0.1377,-0.7667,0.0005,429
Fri Jan 20 2023,SPX230120C04900000,76.18,-21.62,67.9,69.6,262,0.181,0.2091,0.0004,2935,4900.00,SPX230120P04900000,498.64,0,667.7,677.3,0,0.1268,-0.7926,0.0004,97
Fri Jan 20 2023,SPX230120C04950000,70.3,-12.3,56.7,58.3,154,0.1769,0.1846,0.0004,3097,4950.00,SPX230120P04950000,655.48,54.53,705.6,715.3,4,0.1129,-0.8171,0.0004,139
Fri Jan 20 2023,SPX230120C05000000,47.5,-21.95,47.1,49,259,0.1734,0.1615,0.0004,10956,5000.00,SPX230120P05000000,718.58,81.58,745.1,755.1,250,0.0851,-0.8401,0.0004,5378
Fri Jan 20 2023,SPX230120C05050000,50,-8,39.1,40.8,12,0.1702,0.1404,0.0004,1723,5050.00,SPX230120P05050000,612.1,0,786.1,796.3,0,0.001,-0.8613,0.0004,91
Fri Jan 20 2023,SPX230120C05100000,65.1,0,32.5,34.1,0,0.1676,0.1213,0.0003,3729,5100.00,SPX230120P05100000,672.69,0,828.4,838.9,0,0.001,-0.8804,0.0003,108
Fri Jan 20 2023,SPX230120C05150000,31.46,-8.74,27,28.4,500,0.1654,0.1045,0.0003,2345,5150.00,SPX230120P05150000,667.11,0,872,882.6,0,0.001,-0.8972,0.0003,5
Fri Jan 20 2023,SPX230120C05200000,32.4,0,22.5,23.8,0,0.1637,0.09,0.0003,3385,5200.00,SPX230120P05200000,700.12,0,916.5,927.2,0,0.001,-0.9117,0.0003,27
Fri Jan 20 2023,SPX230120C05250000,33.15,0,18.7,19.9,0,0.1621,0.0776,0.0002,2755,5250.00,SPX230120P05250000,742.5,0,961.8,972.7,0,0.001,-0.924,0.0002,21
